flow_id,timestamp,datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type 
0000000000000001 2 10.0.0.3 45000 10.0.0.7 5201,1599138947,0000000000000001,10.0.0.3,45000,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45000 10.0.0.7 5201,1599138947,0000000000000002,10.0.0.3,45000,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45000,1599138947,0000000000000002,10.0.0.7,5201,10.0.0.3,45000,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45000,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.3,45000,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45000,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.3,45000,6,-1,-1
0000000000000001 1 10.0.0.2 38648 10.0.0.7 5201,1599138947,0000000000000001,10.0.0.2,38648,10.0.0.7,5201,6,-1,-1
0000000000000001 1 10.0.0.2 38630 10.0.0.7 5201,1599138947,0000000000000001,10.0.0.2,38630,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38648 10.0.0.7 5201,1599138947,0000000000000002,10.0.0.2,38648,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38630 10.0.0.7 5201,1599138947,0000000000000002,10.0.0.2,38630,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38648,1599138947,0000000000000002,10.0.0.7,5201,10.0.0.2,38648,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38630,1599138947,0000000000000002,10.0.0.7,5201,10.0.0.2,38630,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38648,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.2,38648,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38630,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.2,38630,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38648,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.2,38648,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38648,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.2,38648,6,-1,-1
0000000000000001 3 10.0.0.4 39750 10.0.0.7 5201,1599138947,0000000000000001,10.0.0.4,39750,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39750 10.0.0.7 5201,1599138947,0000000000000002,10.0.0.4,39750,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39750,1599138947,0000000000000002,10.0.0.7,5201,10.0.0.4,39750,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39750,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.4,39750,6,-1,-1
0000000000000001 3 10.0.0.4 39768 10.0.0.7 5201,1599138947,0000000000000001,10.0.0.4,39768,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39768 10.0.0.7 5201,1599138947,0000000000000002,10.0.0.4,39768,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39768,1599138947,0000000000000002,10.0.0.7,5201,10.0.0.4,39768,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39768,1599138947,0000000000000001,10.0.0.7,5201,10.0.0.4,39768,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39768,1599138947,0000000000000002,10.0.0.7,5201,10.0.0.4,39768,6,-1,-1
0000000000000001 2 10.0.0.3 45010 10.0.0.7 5201,1599138967,0000000000000001,10.0.0.3,45010,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.3 45010 10.0.0.7 5201,1599138967,0000000000000002,10.0.0.3,45010,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.3 45010,1599138967,0000000000000002,10.0.0.7,5201,10.0.0.3,45010,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.3 45010,1599138967,0000000000000001,10.0.0.7,5201,10.0.0.3,45010,6,-1,-1
0000000000000001 1 10.0.0.2 38658 10.0.0.7 5201,1599138967,0000000000000001,10.0.0.2,38658,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.2 38658 10.0.0.7 5201,1599138967,0000000000000002,10.0.0.2,38658,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.2 38658,1599138967,0000000000000002,10.0.0.7,5201,10.0.0.2,38658,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38658,1599138967,0000000000000001,10.0.0.7,5201,10.0.0.2,38658,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.2 38658,1599138967,0000000000000001,10.0.0.7,5201,10.0.0.2,38658,6,-1,-1
0000000000000001 3 10.0.0.4 39774 10.0.0.7 5201,1599138967,0000000000000001,10.0.0.4,39774,10.0.0.7,5201,6,-1,-1
0000000000000002 1 10.0.0.4 39774 10.0.0.7 5201,1599138967,0000000000000002,10.0.0.4,39774,10.0.0.7,5201,6,-1,-1
0000000000000002 2 10.0.0.7 5201 10.0.0.4 39774,1599138967,0000000000000002,10.0.0.7,5201,10.0.0.4,39774,6,-1,-1
0000000000000001 6 10.0.0.7 5201 10.0.0.4 39774,1599138967,0000000000000001,10.0.0.7,5201,10.0.0.4,39774,6,-1,-1
0000000000000001 2 10.0.0.3 45016 10.0.0.7 5201,1599138987,0000000000000001,10.0.0.3,45016,10.0.0.7,5201,6,-1,-1
