flow_id,timestamp,datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type 
0000000000000002 2 10.0.0.7 0 10.0.0.6 0,1596715525,0000000000000002,10.0.0.7,0,10.0.0.6,0,1,0,0
0000000000000001 6 10.0.0.7 0 10.0.0.6 0,1596715525,0000000000000001,10.0.0.7,0,10.0.0.6,0,1,0,0
0000000000000001 1 10.0.0.6 0 10.0.0.7 0,1596715525,0000000000000001,10.0.0.6,0,10.0.0.7,0,1,0,8
0000000000000002 1 10.0.0.6 0 10.0.0.7 0,1596715525,0000000000000002,10.0.0.6,0,10.0.0.7,0,1,0,8
0000000000000002 1 10.0.0.6 0 10.0.0.7 0,1596715525,0000000000000002,10.0.0.6,0,10.0.0.7,0,1,0,8
0000000000000002 2 10.0.0.7 0 10.0.0.4 0,1596715525,0000000000000002,10.0.0.7,0,10.0.0.4,0,1,0,0
0000000000000001 6 10.0.0.7 0 10.0.0.4 0,1596715525,0000000000000001,10.0.0.7,0,10.0.0.4,0,1,0,0
0000000000000002 1 10.0.0.4 0 10.0.0.7 0,1596715525,0000000000000002,10.0.0.4,0,10.0.0.7,0,1,0,8
0000000000000001 2 10.0.0.4 0 10.0.0.7 0,1596715534,0000000000000001,10.0.0.4,0,10.0.0.7,0,1,0,8
0000000000000002 1 10.0.0.4 0 10.0.0.7 0,1596715586,0000000000000002,10.0.0.4,0,10.0.0.7,0,1,0,8
0000000000000002 1 10.0.0.6 0 10.0.0.7 0,1596715588,0000000000000002,10.0.0.6,0,10.0.0.7,0,1,0,8
0000000000000001 6 10.0.0.7 0 10.0.0.4 0,1596715588,0000000000000001,10.0.0.7,0,10.0.0.4,0,1,0,0
0000000000000002 2 10.0.0.7 0 10.0.0.4 0,1596715604,0000000000000002,10.0.0.7,0,10.0.0.4,0,1,0,0
0000000000000001 6 10.0.0.7 0 10.0.0.6 0,1596715608,0000000000000001,10.0.0.7,0,10.0.0.6,0,1,0,0
0000000000000001 1 10.0.0.6 0 10.0.0.7 0,1596715616,0000000000000001,10.0.0.6,0,10.0.0.7,0,1,0,8
0000000000000002 2 10.0.0.7 0 10.0.0.6 0,1596715617,0000000000000002,10.0.0.7,0,10.0.0.6,0,1,0,0
0000000000000001 2 10.0.0.4 0 10.0.0.7 0,1596715622,0000000000000001,10.0.0.4,0,10.0.0.7,0,1,0,8
0000000000000002 1 10.0.0.6 0 10.0.0.7 0,1596715640,0000000000000002,10.0.0.6,0,10.0.0.7,0,1,0,8
